run,use_bn,use_dropout,use_wn,dropout_p,learning_rate,batch_size,epochs,channels_per_block,seed,epoch,train_loss,train_acc,val_loss,val_acc
exp1_baseline,False,False,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,1,0.691500,0.510795,0.682205,0.574740
exp1_baseline,False,False,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,2,0.652365,0.608696,0.602862,0.671463
exp1_baseline,False,False,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,3,0.581869,0.694153,0.527534,0.736211
exp1_baseline,False,False,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,4,0.511684,0.749625,0.551383,0.724221
exp1_baseline,False,False,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,5,0.434287,0.801199,0.384764,0.834532
exp2_wn,False,False,True,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,1,0.693354,0.499950,0.693389,0.499800
exp2_wn,False,False,True,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,2,0.692388,0.509295,0.687147,0.554357
exp2_wn,False,False,True,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,3,0.681016,0.566967,0.680523,0.576339
exp2_wn,False,False,True,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,4,0.642851,0.632134,0.636550,0.649680
exp2_wn,False,False,True,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,5,0.600078,0.677161,0.570507,0.702438
exp3_bn,True,False,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,1,0.592669,0.678111,0.569072,0.707434
exp3_bn,True,False,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,2,0.462041,0.786057,0.401789,0.816347
exp3_bn,True,False,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,3,0.346410,0.848376,0.383263,0.823941
exp3_bn,True,False,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,4,0.272460,0.882709,0.252969,0.897082
exp3_bn,True,False,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,5,0.226201,0.903898,0.237547,0.899281
exp4_dropout,False,True,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,1,0.689368,0.537531,0.683444,0.557954
exp4_dropout,False,True,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,2,0.661254,0.602049,0.612263,0.670064
exp4_dropout,False,True,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,3,0.588086,0.687356,0.535824,0.729416
exp4_dropout,False,True,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,4,0.526291,0.738881,0.526888,0.736011
exp4_dropout,False,True,False,0.2,0.001,32,5,"[32, 64, 128, 256, 512]",20250822,5,0.483621,0.771514,0.471186,0.768385
